time_s,voltage_V,code_signed_est
0.702778,-0.000285,-57
0.705556,-0.000285,-57
0.708333,-0.00029,-58
0.711111,-0.000295,-59
0.713889,-0.00031,-62
0.716667,-0.00029,-58
0.719444,-0.000295,-59
0.722222,-0.0003,-60
0.725,-0.000305,-61
0.727778,-0.00031,-62
0.730556,-0.000325,-65
0.733333,-0.00031,-62
0.736111,-0.0003,-60
0.738889,-0.00029,-58
0.741667,-0.00031,-62
0.744444,-0.000325,-65
0.747222,-0.00033,-66
0.75,-0.000315,-63
0.752778,-0.0003,-60
0.755556,-0.000305,-61
0.758333,-0.00031,-62
0.761111,-0.00032,-64
0.763889,-0.00033,-66
0.766667,-0.000325,-65
0.769444,-0.000315,-63
0.772222,-0.00031,-62
0.775,-0.000305,-61
0.777778,-0.000305,-61
0.780556,-0.00031,-62
0.783333,-0.0003,-60
0.786111,-0.000305,-61
0.788889,-0.00029,-58
0.791667,-0.0003,-60
0.794444,-0.0003,-60
0.797222,-0.000305,-61
0.8,-0.000305,-61
0.802778,-0.00029,-58
0.805556,-0.00028,-56
0.808333,-0.000295,-59
0.811111,-0.000305,-61
0.813889,-0.000315,-63
0.816667,-0.000305,-61
0.819444,-0.000295,-59
0.822222,-0.00029,-58
0.825,-0.00028,-56
0.827778,-0.00027,-54
0.830556,-0.000275,-55
0.833333,-0.000275,-55
0.836111,-0.00027,-54
0.838889,-0.00025,-50
0.841667,-0.00025,-50
0.844444,-0.000255,-51
0.847222,-0.000225,-45
0.85,-0.00022,-44
0.852778,-0.000205,-41
0.855556,-0.0002,-40
0.858333,-0.000205,-41
0.861111,-0.000215,-43
0.863889,-0.00023,-46
0.866667,-0.00022,-44
0.869444,-0.000225,-45
0.872222,-0.000225,-45
0.875,-0.000225,-45
0.877778,-0.00023,-46
0.880556,-0.000235,-47
0.883333,-0.00024,-48
0.886111,-0.000235,-47
0.888889,-0.00022,-44
0.891667,-0.00021,-42
0.894444,-0.000205,-41
0.897222,-0.000245,-49
0.9,-0.000285,-57
0.902778,-0.000285,-57
0.905556,-0.0003,-60
0.908333,-0.00031,-62
0.911111,-0.00033,-66
0.913889,-0.00033,-66
0.916667,-0.000325,-65
0.919444,-0.000315,-63
0.922222,-0.00032,-64
0.925,-0.000315,-63
0.927778,-0.000325,-65
0.930556,-0.00034,-68
0.933333,-0.000345,-69
0.936111,-0.00034,-68
0.938889,-0.00034,-68
0.941667,-0.00035,-70
0.944444,-0.000345,-69
0.947222,-0.000355,-71
0.95,-0.00033,-66
0.952778,-0.000335,-67
0.955556,-0.00033,-66
0.958333,-0.00032,-64
0.961111,-0.000345,-69
0.963889,-0.000355,-71
0.966667,-0.00034,-68
0.969444,-0.00033,-66
0.972222,-0.000325,-65
0.975,-0.00033,-66
0.977778,-0.00035,-70
0.980556,-0.000365,-73
0.983333,-0.00036,-72
0.986111,-0.00038,-76
0.988889,-0.000425,-85
0.991667,-0.000445,-89
0.994444,-0.000475,-95
0.997222,-0.00051,-102
1.0,-0.000535,-107
1.002778,-0.000505,-101
1.005556,-0.000415,-83
1.008333,-0.0003,-60
1.011111,-0.00016,-32
1.013889,-1.5e-05,-3
1.016667,0.000235,47
1.019444,0.00049,98
1.022222,0.00072,144
1.025,0.000875,175
1.027778,0.00094,188
1.030556,0.000905,181
1.033333,0.000755,151
1.036111,0.00049,98
1.038889,0.000165,33
1.041667,-0.00011,-22
1.044444,-0.00027,-54
1.047222,-0.00039,-78
1.05,-0.00045,-90
1.052778,-0.000475,-95
1.055556,-0.000455,-91
1.058333,-0.000425,-85
1.061111,-0.00039,-78
1.063889,-0.00039,-78
1.066667,-0.000385,-77
1.069444,-0.00039,-78
1.072222,-0.00038,-76
1.075,-0.00038,-76
1.077778,-0.00038,-76
1.080556,-0.000395,-79
1.083333,-0.000385,-77
1.086111,-0.000385,-77
1.088889,-0.000385,-77
1.091667,-0.000375,-75
1.094444,-0.000395,-79
1.097222,-0.00041,-82
1.1,-0.00041,-82
1.102778,-0.0004,-80
1.105556,-0.000395,-79
1.108333,-0.00039,-78
1.111111,-0.000405,-81
1.113889,-0.000395,-79
1.116667,-0.000385,-77
1.119444,-0.000375,-75
1.122222,-0.00039,-78
1.125,-0.00039,-78
1.127778,-0.000405,-81
1.130556,-0.00041,-82
1.133333,-0.00041,-82
1.136111,-0.00039,-78
1.138889,-0.00039,-78
1.141667,-0.000395,-79
1.144444,-0.000405,-81
1.147222,-0.000415,-83
1.15,-0.0004,-80
1.152778,-0.00041,-82
1.155556,-0.000405,-81
1.158333,-0.00041,-82
1.161111,-0.000415,-83
1.163889,-0.00041,-82
1.166667,-0.0004,-80
1.169444,-0.0004,-80
1.172222,-0.000395,-79
1.175,-0.00039,-78
1.177778,-0.000405,-81
1.180556,-0.00041,-82
1.183333,-0.00039,-78
1.186111,-0.00039,-78
1.188889,-0.000385,-77
1.191667,-0.000385,-77
1.194444,-0.00041,-82
1.197222,-0.000405,-81
1.2,-0.000395,-79
1.202778,-0.00039,-78
1.205556,-0.000375,-75
1.208333,-0.00039,-78
1.211111,-0.000395,-79
1.213889,-0.00041,-82
1.216667,-0.0004,-80
1.219444,-0.00039,-78
1.222222,-0.00039,-78
1.225,-0.000385,-77
1.227778,-0.000405,-81
1.230556,-0.000415,-83
1.233333,-0.000415,-83
1.236111,-0.0004,-80
1.238889,-0.000395,-79
1.241667,-0.000405,-81
1.244444,-0.000415,-83
1.247222,-0.00042,-84
1.25,-0.00042,-84
1.252778,-0.00041,-82
1.255556,-0.000415,-83
1.258333,-0.000425,-85
1.261111,-0.00042,-84
1.263889,-0.000435,-87
1.266667,-0.00043,-86
1.269444,-0.00043,-86
1.272222,-0.00042,-84
1.275,-0.00043,-86
1.277778,-0.00045,-90
1.280556,-0.000455,-91
1.283333,-0.00045,-90
1.286111,-0.000435,-87
1.288889,-0.000445,-89
1.291667,-0.00045,-90
1.294444,-0.000455,-91
1.297222,-0.00047,-94
1.3,-0.00046,-92
1.302778,-0.000455,-91
1.305556,-0.00045,-90
1.308333,-0.000455,-91
1.311111,-0.00047,-94
1.313889,-0.000475,-95
1.316667,-0.00046,-92
1.319444,-0.00045,-90
1.322222,-0.000445,-89
1.325,-0.00044,-88
1.327778,-0.000435,-87
1.330556,-0.00044,-88
1.333333,-0.00041,-82
1.336111,-0.000395,-79
1.338889,-0.00037,-74
1.341667,-0.000365,-73
1.344444,-0.00036,-72
1.347222,-0.000365,-73
1.35,-0.00034,-68
1.352778,-0.000325,-65
1.355556,-0.000315,-63
1.358333,-0.00032,-64
1.361111,-0.00033,-66
1.363889,-0.00033,-66
1.366667,-0.00032,-64
1.369444,-0.00031,-62
1.372222,-0.0003,-60
1.375,-0.0003,-60
1.377778,-0.00032,-64
1.380556,-0.00032,-64
1.383333,-0.000315,-63
1.386111,-0.000305,-61
1.388889,-0.000305,-61
1.391667,-0.000295,-59
1.394444,-0.00032,-64
1.397222,-0.00033,-66
1.4,-0.000305,-61
1.402778,-0.00031,-62
1.405556,-0.0003,-60
1.408333,-0.0003,-60
1.411111,-0.00032,-64
1.413889,-0.000325,-65
1.416667,-0.00031,-62
1.419444,-0.000305,-61
1.422222,-0.000315,-63
1.425,-0.000305,-61
1.427778,-0.000315,-63
1.430556,-0.000315,-63
1.433333,-0.00031,-62
1.436111,-0.000295,-59
1.438889,-0.00029,-58
1.441667,-0.000305,-61
1.444444,-0.00031,-62
1.447222,-0.00032,-64
1.45,-0.000315,-63
1.452778,-0.0003,-60
1.455556,-0.000315,-63
1.458333,-0.000315,-63
1.461111,-0.000315,-63
1.463889,-0.00033,-66
1.466667,-0.000315,-63
1.469444,-0.00032,-64
1.472222,-0.000315,-63
1.475,-0.000325,-65
1.477778,-0.000335,-67
1.480556,-0.00034,-68
1.483333,-0.000335,-67
1.486111,-0.000335,-67
1.488889,-0.00033,-66
1.491667,-0.000325,-65
1.494444,-0.000345,-69
1.497222,-0.00035,-70
1.5,-0.000345,-69
1.502778,-0.000335,-67
1.505556,-0.00033,-66
1.508333,-0.00033,-66
1.511111,-0.000345,-69
1.513889,-0.000345,-69
1.516667,-0.000345,-69
1.519444,-0.00032,-64
1.522222,-0.00033,-66
1.525,-0.000335,-67
1.527778,-0.00034,-68
1.530556,-0.000355,-71
1.533333,-0.000335,-67
1.536111,-0.00033,-66
1.538889,-0.00033,-66
1.541667,-0.000335,-67
1.544444,-0.000355,-71
1.547222,-0.00036,-72
1.55,-0.000355,-71
1.552778,-0.00035,-70
1.555556,-0.00034,-68
1.558333,-0.000345,-69
1.561111,-0.000345,-69
1.563889,-0.000345,-69
1.566667,-0.000345,-69
1.569444,-0.00033,-66
1.572222,-0.00033,-66
1.575,-0.000335,-67
1.577778,-0.000345,-69
1.580556,-0.00035,-70
1.583333,-0.00035,-70
1.586111,-0.00034,-68
1.588889,-0.00033,-66
1.591667,-0.000345,-69
1.594444,-0.000345,-69
1.597222,-0.000355,-71
1.6,-0.00035,-70
1.602778,-0.00034,-68
1.605556,-0.00033,-66
1.608333,-0.00034,-68
1.611111,-0.00034,-68
1.613889,-0.00034,-68
1.616667,-0.00033,-66
1.619444,-0.000335,-67
1.622222,-0.00033,-66
1.625,-0.000335,-67
1.627778,-0.000345,-69
1.630556,-0.000345,-69
1.633333,-0.00034,-68
1.636111,-0.00033,-66
1.638889,-0.000315,-63
1.641667,-0.000295,-59
1.644444,-0.0003,-60
1.647222,-0.000295,-59
1.65,-0.000285,-57
1.652778,-0.000275,-55
1.655556,-0.000265,-53
1.658333,-0.000265,-53
1.661111,-0.000265,-53
1.663889,-0.000255,-51
1.666667,-0.00025,-50
1.669444,-0.00024,-48
1.672222,-0.000225,-45
1.675,-0.000215,-43
1.677778,-0.00024,-48
1.680556,-0.000245,-49
1.683333,-0.00024,-48
1.686111,-0.000245,-49
1.688889,-0.000235,-47
1.691667,-0.000245,-49
1.694444,-0.00025,-50
1.697222,-0.000275,-55
1.7,-0.000275,-55
1.702778,-0.000265,-53
1.705556,-0.00025,-50
1.708333,-0.000225,-45
1.711111,-0.00022,-44
1.713889,-0.00023,-46
1.716667,-0.000265,-53
1.719444,-0.00027,-54
1.722222,-0.00028,-56
1.725,-0.000285,-57
1.727778,-0.000305,-61
1.730556,-0.00032,-64
1.733333,-0.00034,-68
1.736111,-0.00033,-66
1.738889,-0.000335,-67
1.741667,-0.000335,-67
1.744444,-0.000355,-71
1.747222,-0.00037,-74
1.75,-0.00036,-72
1.752778,-0.000345,-69
1.755556,-0.00035,-70
1.758333,-0.000355,-71
1.761111,-0.000365,-73
1.763889,-0.000375,-75
1.766667,-0.00038,-76
1.769444,-0.00037,-74
1.772222,-0.000365,-73
1.775,-0.000365,-73
1.777778,-0.00038,-76
1.780556,-0.000385,-77
1.783333,-0.00038,-76
1.786111,-0.000375,-75
1.788889,-0.000355,-71
1.791667,-0.00037,-74
1.794444,-0.00039,-78
1.797222,-0.000405,-81
1.8,-0.00041,-82
1.802778,-0.000435,-87
1.805556,-0.000465,-93
1.808333,-0.00049,-98
1.811111,-0.00052,-104
1.813889,-0.000555,-111
1.816667,-0.00057,-114
1.819444,-0.000525,-105
1.822222,-0.000405,-81
1.825,-0.00025,-50
1.827778,-9e-05,-18
1.830556,0.00012,24
1.833333,0.00041,82
1.836111,0.00069,138
1.838889,0.000885,177
1.841667,0.00096,192
1.844444,0.00085,170
1.847222,0.00052,104
1.85,5e-05,10
1.852778,-0.00032,-64
1.855556,-0.0005,-100
1.858333,-0.000505,-101
1.861111,-0.000445,-89
1.863889,-0.000415,-83
1.866667,-0.000395,-79
1.869444,-0.00039,-78
1.872222,-0.000395,-79
1.875,-0.00039,-78
1.877778,-0.000395,-79
1.880556,-0.000405,-81
1.883333,-0.000395,-79
1.886111,-0.000405,-81
1.888889,-0.00039,-78
1.891667,-0.000395,-79
1.894444,-0.000395,-79
1.897222,-0.00041,-82
1.9,-0.000405,-81
1.902778,-0.0004,-80
1.905556,-0.0004,-80
1.908333,-0.000415,-83
1.911111,-0.000405,-81
1.913889,-0.00042,-84
1.916667,-0.000415,-83
1.919444,-0.000405,-81
1.922222,-0.000405,-81
1.925,-0.00042,-84
1.927778,-0.00042,-84
1.930556,-0.000435,-87
1.933333,-0.00042,-84
1.936111,-0.00041,-82
1.938889,-0.00041,-82
1.941667,-0.000405,-81
1.944444,-0.000425,-85
1.947222,-0.00043,-86
1.95,-0.00042,-84
1.952778,-0.000415,-83
1.955556,-0.00041,-82
1.958333,-0.00041,-82
1.961111,-0.000425,-85
1.963889,-0.00042,-84
1.966667,-0.0004,-80
1.969444,-0.000395,-79
1.972222,-0.0004,-80
1.975,-0.0004,-80
1.977778,-0.000395,-79
1.980556,-0.000415,-83
1.983333,-0.000405,-81
1.986111,-0.00039,-78
1.988889,-0.0004,-80
1.991667,-0.0004,-80
1.994444,-0.000415,-83
1.997222,-0.000425,-85
2.0,-0.000425,-85
2.002778,-0.000415,-83
2.005556,-0.000415,-83
2.008333,-0.00041,-82
2.011111,-0.000425,-85
2.013889,-0.000425,-85
2.016667,-0.00042,-84
2.019444,-0.000415,-83
2.022222,-0.0004,-80
2.025,-0.0004,-80
2.027778,-0.00041,-82
2.030556,-0.000425,-85
2.033333,-0.00041,-82
2.036111,-0.000405,-81
2.038889,-0.000395,-79
2.041667,-0.0004,-80
2.044444,-0.0004,-80
2.047222,-0.000405,-81
2.05,-0.000385,-77
2.052778,-0.0004,-80
2.055556,-0.00039,-78
2.058333,-0.00039,-78
2.061111,-0.0004,-80
2.063889,-0.000415,-83
2.066667,-0.000405,-81
2.069444,-0.000405,-81
2.072222,-0.00041,-82
2.075,-0.000415,-83
2.077778,-0.00042,-84
2.080556,-0.00042,-84
2.083333,-0.000425,-85
2.086111,-0.000415,-83
2.088889,-0.000415,-83
2.091667,-0.00041,-82
2.094444,-0.000435,-87
2.097222,-0.00043,-86
2.1,-0.000435,-87
2.102778,-0.00042,-84
2.105556,-0.00042,-84
2.108333,-0.00042,-84
2.111111,-0.00042,-84
2.113889,-0.000425,-85
2.116667,-0.000425,-85
2.119444,-0.000415,-83
2.122222,-0.000395,-79
2.125,-0.000395,-79
2.127778,-0.00039,-78
2.130556,-0.000375,-75
2.133333,-0.00036,-72
2.136111,-0.00034,-68
2.138889,-0.000335,-67
2.141667,-0.00033,-66
2.144444,-0.000335,-67
2.147222,-0.000335,-67
2.15,-0.000325,-65
2.152778,-0.00032,-64
2.155556,-0.000305,-61
2.158333,-0.000305,-61
2.161111,-0.000315,-63
2.163889,-0.00031,-62
2.166667,-0.000305,-61
2.169444,-0.0003,-60
2.172222,-0.0003,-60
2.175,-0.0003,-60
2.177778,-0.00031,-62
2.180556,-0.00031,-62
2.183333,-0.00031,-62
2.186111,-0.000315,-63
2.188889,-0.0003,-60
2.191667,-0.000305,-61
2.194444,-0.000315,-63
2.197222,-0.00032,-64
2.2,-0.000325,-65
2.202778,-0.00031,-62
2.205556,-0.000305,-61
2.208333,-0.000305,-61
2.211111,-0.00032,-64
2.213889,-0.000325,-65
2.216667,-0.000305,-61
2.219444,-0.00031,-62
2.222222,-0.000295,-59
2.225,-0.00031,-62
2.227778,-0.000325,-65
2.230556,-0.00033,-66
2.233333,-0.00032,-64
2.236111,-0.00032,-64
2.238889,-0.00032,-64
2.241667,-0.000325,-65
2.244444,-0.00035,-70
2.247222,-0.00035,-70
2.25,-0.00034,-68
2.252778,-0.000335,-67
2.255556,-0.00033,-66
2.258333,-0.000335,-67
2.261111,-0.00034,-68
2.263889,-0.00036,-72
2.266667,-0.00035,-70
2.269444,-0.00035,-70
2.272222,-0.000355,-71
2.275,-0.00036,-72
2.277778,-0.000355,-71
2.280556,-0.000365,-73
2.283333,-0.000355,-71
2.286111,-0.00035,-70
2.288889,-0.00034,-68
2.291667,-0.000355,-71
2.294444,-0.00035,-70
2.297222,-0.000365,-73
2.3,-0.000365,-73
2.302778,-0.00035,-70
2.305556,-0.000355,-71
2.308333,-0.00035,-70
2.311111,-0.00037,-74
2.313889,-0.00038,-76
2.316667,-0.00037,-74
2.319444,-0.00036,-72
2.322222,-0.000365,-73
2.325,-0.00036,-72
2.327778,-0.000365,-73
2.330556,-0.00038,-76
2.333333,-0.00037,-74
2.336111,-0.000365,-73
2.338889,-0.00035,-70
2.341667,-0.00035,-70
2.344444,-0.00035,-70
2.347222,-0.00037,-74
2.35,-0.000365,-73
2.352778,-0.000345,-69
2.355556,-0.000345,-69
2.358333,-0.00034,-68
2.361111,-0.000355,-71
2.363889,-0.000365,-73
2.366667,-0.00036,-72
2.369444,-0.000355,-71
2.372222,-0.000355,-71
2.375,-0.000355,-71
2.377778,-0.000375,-75
2.380556,-0.000385,-77
2.383333,-0.000355,-71
2.386111,-0.00036,-72
2.388889,-0.000355,-71
2.391667,-0.00036,-72
2.394444,-0.00036,-72
2.397222,-0.00037,-74
2.4,-0.00036,-72
2.402778,-0.000345,-69
2.405556,-0.000355,-71
2.408333,-0.000345,-69
2.411111,-0.000345,-69
2.413889,-0.000345,-69
2.416667,-0.00034,-68
2.419444,-0.00031,-62
2.422222,-0.000305,-61
2.425,-0.000305,-61
2.427778,-0.00031,-62
2.430556,-0.000305,-61
2.433333,-0.00029,-58
2.436111,-0.000285,-57
2.438889,-0.000275,-55
2.441667,-0.00028,-56
2.444444,-0.00028,-56
2.447222,-0.000275,-55
2.45,-0.000265,-53
2.452778,-0.000255,-51
2.455556,-0.000245,-49
2.458333,-0.00026,-52
2.461111,-0.000265,-53
2.463889,-0.000275,-55
2.466667,-0.00028,-56
2.469444,-0.000265,-53
2.472222,-0.00027,-54
2.475,-0.000275,-55
2.477778,-0.00028,-56
2.480556,-0.000275,-55
2.483333,-0.00028,-56
2.486111,-0.000275,-55
2.488889,-0.000265,-53
2.491667,-0.000255,-51
2.494444,-0.00024,-48
2.497222,-0.00026,-52
2.5,-0.00028,-56
2.502778,-0.00031,-62
2.505556,-0.00031,-62
2.508333,-0.000345,-69
2.511111,-0.00036,-72
2.513889,-0.00038,-76
2.516667,-0.000385,-77
2.519444,-0.00038,-76
2.522222,-0.00037,-74
2.525,-0.000375,-75
2.527778,-0.000385,-77
2.530556,-0.00039,-78
2.533333,-0.000395,-79
2.536111,-0.000385,-77
2.538889,-0.000385,-77
2.541667,-0.000385,-77
2.544444,-0.000395,-79
2.547222,-0.000405,-81
2.55,-0.0004,-80
2.552778,-0.000375,-75
2.555556,-0.000375,-75
2.558333,-0.00039,-78
2.561111,-0.000395,-79
2.563889,-0.000415,-83
2.566667,-0.000405,-81
2.569444,-0.0004,-80
2.572222,-0.00039,-78
2.575,-0.000405,-81
2.577778,-0.000425,-85
2.580556,-0.00046,-92
2.583333,-0.000475,-95
2.586111,-0.000505,-101
2.588889,-0.00051,-102
2.591667,-0.000525,-105
2.594444,-0.00054,-108
2.597222,-0.0006,-120
2.6,-0.000645,-129
2.602778,-0.00063,-126
2.605556,-0.000575,-115
2.608333,-0.000495,-99
2.611111,-0.000385,-77
2.613889,-0.00027,-54
2.616667,-0.000115,-23
2.619444,9e-05,18
2.622222,0.00037,74
2.625,0.000635,127
2.627778,0.00081,162
2.630556,0.00086,172
2.633333,0.00077,154
2.636111,0.000475,95
2.638889,6.5e-05,13
2.641667,-0.000305,-61
2.644444,-0.0005,-100
2.647222,-0.00052,-104
2.65,-0.000475,-95
2.652778,-0.00041,-82
2.655556,-0.00039,-78
2.658333,-0.00039,-78
2.661111,-0.0004,-80
2.663889,-0.00041,-82
2.666667,-0.000405,-81
2.669444,-0.000385,-77
2.672222,-0.00039,-78
2.675,-0.000395,-79
2.677778,-0.000405,-81
2.680556,-0.00041,-82
2.683333,-0.000405,-81
2.686111,-0.0004,-80
2.688889,-0.00039,-78
2.691667,-0.000395,-79
2.694444,-0.00041,-82
2.697222,-0.000415,-83
2.7,-0.00041,-82
2.702778,-0.000395,-79
2.705556,-0.000405,-81
2.708333,-0.00041,-82
2.711111,-0.000405,-81
2.713889,-0.000405,-81
2.716667,-0.00041,-82
2.719444,-0.00039,-78
2.722222,-0.000385,-77
2.725,-0.00039,-78
2.727778,-0.000395,-79
2.730556,-0.0004,-80
2.733333,-0.0004,-80
2.736111,-0.0004,-80
2.738889,-0.000395,-79
2.741667,-0.000395,-79
2.744444,-0.000405,-81
2.747222,-0.000405,-81
2.75,-0.0004,-80
2.752778,-0.000395,-79
2.755556,-0.000385,-77
2.758333,-0.000375,-75
2.761111,-0.000385,-77
2.763889,-0.000395,-79
2.766667,-0.00039,-78
2.769444,-0.000385,-77
2.772222,-0.000375,-75
2.775,-0.000385,-77
2.777778,-0.000395,-79
2.780556,-0.000395,-79
2.783333,-0.000385,-77
2.786111,-0.000375,-75
2.788889,-0.000375,-75
2.791667,-0.000385,-77
2.794444,-0.000395,-79
2.797222,-0.00039,-78
2.8,-0.00039,-78
2.802778,-0.000365,-73
