time_s,v_diff,v_hpf,v_ia,v_notch,v_lpf,v_adc_in,adc_code,adc_signed
0.033,-0.000158800864241988,-0.000144998802554955,-0.0291447593135459,-0.0281928473446688,-0.0281551920353508,-0.0281551920353508,2012,-36
0.034,-0.000158799496040317,-0.000144558710848128,-0.0290563008804737,-0.0276837586277934,-0.0280161605936074,-0.0280161605936074,2012,-36
0.035,-0.000156999640028798,-0.000142324183784135,-0.0286071609406112,-0.0270490497261428,-0.0275996500701207,-0.0275996500701207,2013,-35
0.036,-0.000155199784017279,-0.000140096417770261,-0.0281593799718225,-0.026675412914042,-0.0271269457431795,-0.0271269457431795,2013,-35
0.037,-0.00015660007199424,-0.000141070694970343,-0.028355209689039,-0.0271579472543454,-0.0269921600643425,-0.0269921600643425,2014,-34
0.038,-0.00015839992800576,-0.00014244098782611,-0.0286306385530482,-0.0278457033159812,-0.0273188685392276,-0.0273188685392276,2013,-35
0.039,-0.000160599352051836,-0.000144206098105623,-0.0289854257192303,-0.0286669522313487,-0.0279198039459182,-0.0279198039459182,2012,-36
0.04,-0.000165998920086393,-0.000149161170278992,-0.0299813952260774,-0.0300944413019792,-0.0288562737028065,-0.0288562737028065,2011,-37
0.041,-0.00017139848812095,-0.00015410124979828,-0.0309743512094544,-0.0313979595008452,-0.0300677651762717,-0.0300677651762717,2010,-38
0.042,-0.000175599567879006,-0.00015782970689468,-0.0317237710858307,-0.0323103742338016,-0.0312128944654074,-0.0312128944654074,2008,-40
0.043,-0.000177400072020166,-0.000159149938845325,-0.0319891377079103,-0.0326044736551897,-0.0320106697725153,-0.0320106697725153,2007,-41
0.044,-0.000179200576161325,-0.000160466176145589,-0.0322537014052634,-0.0327919971051229,-0.0324514169569005,-0.0324514169569005,2007,-41
0.045,-0.000181000719942405,-0.000161778071067255,-0.0325173922845182,-0.0328912824465918,-0.0327015597895651,-0.0327015597895651,2006,-42
0.046,-0.000182800575953924,-0.000163085709229839,-0.0327802275551976,-0.0329313274485923,-0.0328360118139414,-0.0328360118139414,2006,-42
0.047,-0.000184600431965443,-0.000164389390847302,-0.0330422675603077,-0.032947000464403,-0.0329021349822467,-0.0329021349822467,2006,-42
0.048,-0.000180799136069114,-0.000160096449737966,-0.0321793863973311,-0.0318806289671534,-0.0325891091704079,-0.0325891091704079,2007,-41
0.049,-0.000175399568034557,-0.000154220643683073,-0.0309983493802978,-0.03062456562,-0.0317323707878238,-0.0317323707878238,2008,-40
0.05,-0.00017,-0.0001483626161639,-0.0298208858489438,-0.0295159459664456,-0.0306669124579514,-0.0306669124579514,2009,-39
0.051,-0.000164600431965443,-0.000142522313387598,-0.0286469849909071,-0.0285344497991833,-0.0296145313200431,-0.0296145313200431,2010,-38
0.052,-0.000159200863930886,-0.000136699681724083,-0.0274766360265407,-0.0276443850351718,-0.0286368942028216,-0.0286368942028216,2011,-37
0.053,-0.000156598272138229,-0.000133687412515912,-0.0268711699156982,-0.027346558000032,-0.0279052129943474,-0.0279052129943474,2012,-36
0.054,-0.000163797696184305,-0.000140471444354608,-0.0282347603152763,-0.0289205881563781,-0.0280515976634869,-0.0280515976634869,2012,-36
0.055,-0.000170997120230382,-0.000147234949621932,-0.0295942248740084,-0.0302804983075126,-0.0290445114894218,-0.0290445114894218,2011,-37
0.056,-0.000175799423838675,-0.000151584496493687,-0.030468483795231,-0.03097425585552,-0.0300591689202516,-0.0300591689202516,2010,-38
0.057,-0.000177599927979834,-0.000152923624693653,-0.0307376485634243,-0.0309592104697905,-0.0306409408705104,-0.0306409408705104,2009,-39
0.058,-0.000179400432120994,-0.000154258701068507,-0.0310059989147698,-0.0309142266510794,-0.0308305419537954,-0.0308305419537954,2009,-39
0.059,-0.000182401007919366,-0.00015678799399557,-0.0315143867931096,-0.03111852159448,-0.0309496651390417,-0.0309496651390417,2009,-39
0.06,-0.000186000719942405,-0.000159907863809812,-0.0321414806257722,-0.0314772001798004,-0.0311728675416689,-0.0311728675416689,2008,-40
0.061,-0.000189600431965443,-0.000163018293775902,-0.0327666770489564,-0.031898222840721,-0.0315028957266637,-0.0315028957266637,2008,-40
0.062,-0.000186799856011519,-0.000159728707214418,-0.0321054701500979,-0.0311557828219461,-0.031518348998888,-0.031518348998888,2008,-40
0.063,-0.000183200143988481,-0.000155651146927528,-0.0312858805324331,-0.030443953882795,-0.0310577844818896,-0.0310577844818896,2008,-40
0.064,-0.000179001079913607,-0.000150987478874167,-0.0303484832537075,-0.0297852102564438,-0.0304531675509471,-0.0304531675509471,2009,-39
0.065,-0.000170001799856012,-0.000141544967836706,-0.0284505385351779,-0.0283180709809244,-0.0295547528507785,-0.0295547528507785,2010,-38
0.066,-0.000161002519798416,-0.0001321310271806,-0.0265583364633005,-0.0269831420945516,-0.0283341462398551,-0.0283341462398551,2012,-36
0.067,-0.000152601728483976,-0.000123343153773804,-0.0247919739085346,-0.0258113189262094,-0.027092533592756,-0.027092533592756,2013,-35
0.068,-0.000145399711919337,-0.00011577883117137,-0.0232715450654454,-0.0248261190825739,-0.0259554729591891,-0.0259554729591891,2015,-33
0.069,-0.000138197695354699,-0.000108237396080593,-0.0217557166121991,-0.0237059612299524,-0.0248725032137238,-0.0248725032137238,2016,-32
0.07,-0.000139002879769618,-0.000108713866461357,-0.0218514871587328,-0.0239694688903105,-0.0242091774742415,-0.0242091774742415,2017,-31
0.071,-0.000146202303815695,-0.000115573461223063,-0.0232302657058358,-0.0251718456752682,-0.0244408953002337,-0.0244408953002337,2017,-31
0.072,-0.000153401727861771,-0.000122412300781254,-0.0246048724570321,-0.0260160490768626,-0.0251800312462797,-0.0251800312462797,2016,-32
0.073,-0.000164802015838733,-0.000133424956550138,-0.0268184162665778,-0.0274208707970026,-0.0261662034838777,-0.0261662034838777,2015,-33
0.074,-0.000177401007919366,-0.000145601181754553,-0.0292658375326651,-0.0288669158381496,-0.0274339533772741,-0.0274339533772741,2013,-35
0.075,-0.00019,-0.000157740565127789,-0.0317058535906855,-0.0302532679718927,-0.0287968626899325,-0.0287968626899325,2011,-37
0.076,-0.000195399568034557,-0.000162654685812437,-0.0326935918482998,-0.030323222443138,-0.0297528771242805,-0.0297528771242805,2010,-38
0.077,-0.000200799136069114,-0.000167553937750686,-0.0336783414878879,-0.0307088254005207,-0.0302420737893759,-0.0302420737893759,2009,-39
0.078,-0.000207397408207343,-0.000173635256564195,-0.0349006865694033,-0.0317025024814075,-0.0308597597839837,-0.0308597597839837,2009,-39
0.079,-0.000218196544276458,-0.000183892683633011,-0.0369624294102352,-0.0338757048920762,-0.0320965186960082,-0.0320965186960082,2007,-41
0.08,-0.000228995680345572,-0.000194119074613873,-0.0390179339973884,-0.0363036389449665,-0.0340152066591577,-0.0340152066591577,2005,-43
0.081,-0.00023340115232265,-0.000197930532035422,-0.0397840369391197,-0.0376688223897259,-0.0359197092285093,-0.0359197092285093,2002,-46
0.082,-0.000229800144040331,-0.000193736089478082,-0.0389409539850945,-0.0376570911388989,-0.0370371755976138,-0.0370371755976138,2001,-47
0.083,-0.000226199135758012,-0.000189554338123639,-0.0381004219628515,-0.0378240499803339,-0.0374880698040257,-0.0374880698040257,2000,-48
0.084,-0.000229802015838733,-0.000192578229465588,-0.0387082241225833,-0.0394247921739221,-0.0382165001072964,-0.0382165001072964,2000,-48
0.085,-0.000237001439884809,-0.00019918407426359,-0.0400359989269816,-0.0415093679593213,-0.0396591795684023,-0.0396591795684023,1998,-50
0.086,-0.000244200863930886,-0.000205769931634064,-0.0413597562584469,-0.0432346032092991,-0.0413981577837279,-0.0413981577837279,1996,-52
0.087,-0.00024660007199424,-0.000207542908122031,-0.0417161245325282,-0.043635447645401,-0.0427038421706651,-0.0427038421706651,1994,-54
0.088,-0.00024839992800576,-0.000208712074765539,-0.0419511270278732,-0.0436264915618636,-0.0432981546276954,-0.0432981546276954,1993,-55
0.089,-0.000250399568034557,-0.000210077185611946,-0.0422255143080012,-0.0434276861448596,-0.0434449073364558,-0.0434449073364558,1993,-55
0.09,-0.000253999280057595,-0.0002130358173275,-0.0428201992828276,-0.0433908668519325,-0.0434220670556483,-0.0434220670556483,1993,-55
0.091,-0.000257598992080634,-0.000215985497056018,-0.0434130849082596,-0.0432770835358259,-0.0433655979134886,-0.0433655979134886,1993,-55
0.092,-0.000261798703637018,-0.000219525343702163,-0.0441245940841348,-0.0433056436878031,-0.0433180118226719,-0.0433180118226719,1993,-55
0.093,-0.000267200216060497,-0.000224254462479911,-0.0450751469584622,-0.0436763889000518,-0.0434289121247588,-0.0434289121247588,1993,-55
0.094,-0.000272601728483976,-0.000228969272274973,-0.0460228237272697,-0.0442079440263809,-0.0437579213160777,-0.0437579213160777,1993,-55
0.095,-0.000275,-0.0002306711189558,-0.0463648949101158,-0.0443591377266837,-0.0440948569317537,-0.0440948569317537,1992,-56
0.096,-0.000275,-0.000229973173058808,-0.0462246077848204,-0.0443040249475044,-0.0442466033454334,-0.0442466033454334,1992,-56
0.097,-0.000275,-0.000229277338949704,-0.0460847451288905,-0.0445157027733663,-0.0443512575217167,-0.0443512575217167,1992,-56
0.098,-0.000275,-0.000228583610238812,-0.0459453056580013,-0.0449264224645161,-0.0445883120712196,-0.0445883120712196,1992,-56
0.099,-0.000275,-0.00022789198055579,-0.0458062880917139,-0.0454463210806429,-0.0449716836746555,-0.0449716836746555,1991,-57
0.1,-0.000275,-0.00022720244354957,-0.0456676911534636,-0.04597733014657,-0.0454461336355215,-0.0454461336355215,1991,-57
0.101,-0.000271400287976962,-0.000222920726723089,-0.0448070660713408,-0.045724653536063,-0.0457056581264157,-0.0457056581264157,1990,-58
0.102,-0.000267800575953924,-0.000218651965166884,-0.0439490449985436,-0.0453678832217795,-0.0456034852113552,-0.0456034852113552,1990,-58
0.103,-0.000264200863930885,-0.000214396119681953,-0.0430936200560726,-0.044846254500001,-0.0452852696020828,-0.0452852696020828,1991,-57
0.104,-0.000260601151907847,-0.0002101531511879,-0.042240783388768,-0.0441263677368956,-0.0447731167279581,-0.0447731167279581,1991,-57
0.105,-0.000257001439884809,-0.000205923020722574,-0.0413905271652373,-0.0432047244155088,-0.0440631355409351,-0.0440631355409351,1992,-56
0.106,-0.00025659884767735,-0.00020489797246483,-0.0411844924654309,-0.0427299441962497,-0.0433606988517967,-0.0433606988517967,1993,-55
0.107,-0.000260199855959669,-0.000207873569320202,-0.0417825874333607,-0.0428611709140632,-0.0429984287898478,-0.0429984287898478,1994,-54
0.108,-0.000263800864241988,-0.000210840162856799,-0.0423788727342165,-0.0428336241702801,-0.0429016138874913,-0.0429016138874913,1994,-54
0.109,-0.000267401007919366,-0.000213796917019214,-0.0429731803208619,-0.0427440850770644,-0.0428293323081201,-0.0428293323081201,1994,-54
0.11,-0.000271000719942405,-0.000216744293874231,-0.0435656030687205,-0.0426906253067082,-0.0427575521054061,-0.0427575521054061,1994,-54
0.111,-0.000274600431965443,-0.000219682752796254,-0.044156233312047,-0.0427588760577898,-0.0427365255521003,-0.0427365255521003,1994,-54
0.112,-0.000279800215982721,-0.000224209972078873,-0.0450662043878535,-0.0433234532927053,-0.0429318070412973,-0.0429318070412973,1994,-54
0.113,-0.000285199784017279,-0.000228922975042035,-0.046013517983449,-0.0441205910734116,-0.0434383552090929,-0.0434383552090929,1993,-55
0.114,-0.00029,-0.000233023272467923,-0.0468376777660525,-0.0449975254372003,-0.044156754597691,-0.044156754597691,1992,-56
0.115,-0.00029,-0.00023231820961628,-0.0466959601328724,-0.0451216642327971,-0.0447354983395549,-0.0447354983395549,1991,-57
0.116,-0.00029,-0.000231615280086428,-0.046554671297372,-0.0454520437215121,-0.0450889314405803,-0.0450889314405803,1991,-57
0.117,-0.00029,-0.000230914477423534,-0.0464138099621303,-0.0459089881690768,-0.0454681522769356,-0.0454681522769356,1991,-57
0.118,-0.00029,-0.000230215795192298,-0.0462733748336519,-0.0464014889797797,-0.0459085922112257,-0.0459085922112257,1990,-58
0.119,-0.00029,-0.00022951922697689,-0.0461333646223549,-0.0468404722554387,-0.0463652514460869,-0.0463652514460869,1989,-59
0.12,-0.00029,-0.000228824766380893,-0.0459937780425596,-0.0471508206322314,-0.0467693508036178,-0.0467693508036178,1989,-59
0.121,-0.00029,-0.000228132407027245,-0.0458546138124762,-0.0472805996855605,-0.0470554785954628,-0.0470554785954628,1989,-59
0.122,-0.00029,-0.000227442142558176,-0.0457158706541934,-0.0472064356180072,-0.0471760164520788,-0.0471760164520788,1988,-60
0.123,-0.000288599712023038,-0.000225355797096888,-0.0452965152164745,-0.0466613132368957,-0.0470207972055228,-0.0470207972055228,1989,-59
0.124,-0.000286799856011519,-0.000222876800785547,-0.044798236957895,-0.0458933759577889,-0.0465442250207917,-0.0465442250207917,1989,-59
0.125,-0.000285,-0.000220405305219475,-0.0443014663491145,-0.0450341474529276,-0.0458516203314113,-0.0458516203314113,1990,-58
0.126,-0.000288599712023038,-0.000223332686951346,-0.0448898700772205,-0.0451936626690559,-0.0453787259272962,-0.0453787259272962,1991,-57
0.127,-0.000292199424046076,-0.000226251211249836,-0.0454764934612171,-0.0452981561608775,-0.0452935871373414,-0.0452935871373414,1991,-57
0.128,-0.000295799136069114,-0.000229160904915049,-0.0460613418879249,-0.0454175496867136,-0.0453347831542992,-0.0453347831542992,1991,-57
0.129,-0.000299398848092153,-0.000232061794665995,-0.0466444207278649,-0.045614315024766,-0.045450904437274,-0.045450904437274,1991,-57
0.13,-0.000302998560115191,-0.000234953907140841,-0.047225735335309,-0.0459354938429815,-0.0456585967427867,-0.0456585967427867,1990,-58
0.131,-0.000301802304645301,-0.00023304855702827,-0.0468427599626823,-0.0454714306155702,-0.0456873566700233,-0.0456873566700233,1990,-58
0.132,-0.000294600288080663,-0.000225152296745793,-0.0452556116459043,-0.0440580226151949,-0.0450959271478177,-0.0450959271478177,1991,-57
0.133,-0.000287398271516024,-0.000217279928324987,-0.0436732655933223,-0.0429174030710191,-0.0440650205422339,-0.0440650205422339,1992,-56
0.134,-0.000282598992080634,-0.000211830481601828,-0.0425779268019674,-0.0424379696308595,-0.0431757037529425,-0.0431757037529425,1993,-55
0.135,-0.000278999280057595,-0.000207595276006656,-0.0417266504773378,-0.0422504489478806,-0.0426426944814217,-0.0426426944814217,1994,-54
0.136,-0.000275399568034557,-0.000203372884951862,-0.0408779498753243,-0.0420077681647317,-0.0423134727345528,-0.0423134727345528,1994,-54
0.137,-0.000275,-0.000202358572285128,-0.0406740730293107,-0.0422557765401623,-0.0421969981306388,-0.0421969981306388,1995,-53
0.138,-0.000275,-0.000201746292187442,-0.0405510047296758,-0.042347999039363,-0.0422642350916157,-0.0422642350916157,1995,-53
0.139,-0.000275199784017279,-0.000201335346449211,-0.0404684046362913,-0.0422273294509306,-0.0422792537797766,-0.0422792537797766,1995,-53
0.14,-0.000276999640028798,-0.000202523295427583,-0.0407071823809442,-0.0421878783698687,-0.0422333243763298,-0.0422333243763298,1995,-53
0.141,-0.000278799496040317,-0.000203707650006626,-0.0409452376513319,-0.0419484193451615,-0.0421274426334999,-0.0421274426334999,1995,-53
0.142,-0.000280599567879006,-0.000204888636562635,-0.0411826159490896,-0.0415890084208739,-0.0418974883062677,-0.0418974883062677,1995,-53
0.143,-0.000282400072020166,-0.000206066481434102,-0.0414193627682546,-0.0412000691246409,-0.0415750847591457,-0.0415750847591457,1995,-53
0.144,-0.000284200576161325,-0.000207240762478425,-0.0416553932581634,-0.0408691555234492,-0.0412286280699786,-0.0412286280699786,1996,-52
0.145,-0.000289002879769618,-0.000211408748645621,-0.0424931584777698,-0.0412552401633433,-0.0411219420272976,-0.0411219420272976,1996,-52
0.146,-0.000296202303815695,-0.000217957617591338,-0.043809481135859,-0.0422471891905932,-0.0415253219309326,-0.0415253219309326,1995,-53
0.147,-0.000303401727861771,-0.000224486671502424,-0.0451218209719872,-0.0433752515425695,-0.0423496157999382,-0.0423496157999382,1994,-54
0.148,-0.000300799136069114,-0.000221208783565725,-0.0444629654967107,-0.0427415682859792,-0.0428039710014357,-0.0428039710014357,1994,-54
0.149,-0.000295399568034557,-0.000215148068785181,-0.0432447618258214,-0.0418459388303306,-0.0424769085377942,-0.0424769085377942,1994,-54
0.15,-0.00029,-0.000209105692022128,-0.0420302440964478,-0.0412111918239739,-0.0418689962232801,-0.0418689962232801,1995,-53
0.151,-0.000293599712023038,-0.000212067263203915,-0.0426255199039869,-0.0424951420901776,-0.0418588492577645,-0.0418588492577645,1995,-53
0.152,-0.000297199424046076,-0.000215019873504667,-0.0432189945744381,-0.0437001642620251,-0.0426529543336215,-0.0426529543336215,1994,-54
0.153,-0.000298401727861771,-0.000215569768771459,-0.0433295235230632,-0.0442807013076499,-0.0435103123151702,-0.0435103123151702,1993,-55
0.154,-0.000291202303815695,-0.000207728982980304,-0.0417535255790411,-0.0430483734954898,-0.0436091745500418,-0.0436091745500418,1993,-55
0.155,-0.000284002879769618,-0.00019991192120062,-0.0401822961613247,-0.0417350046681133,-0.0428287351473237,-0.0428287351473237,1994,-54
0.156,-0.00028159884767735,-0.000196906648850698,-0.0395782364189903,-0.0412472313562773,-0.0419712882658311,-0.0419712882658311,1995,-53
0.157,-0.000285199855959669,-0.000199906425202633,-0.0401811914657293,-0.0417413270586763,-0.0416655132284245,-0.0416655132284245,1995,-53
0.158,-0.000288800864241988,-0.00020289712507544,-0.0407823221401635,-0.0419840237722133,-0.0417918992457452,-0.0417918992457452,1995,-53
0.159,-0.000292401007919366,-0.000205877912635076,-0.0413814604396502,-0.0420427084597075,-0.0419338651881908,-0.0419338651881908,1995,-53
0.16,-0.000296000719942405,-0.000208849250169017,-0.0419786992839723,-0.0420048957898256,-0.0419915170706111,-0.0419915170706111,1995,-53
0.161,-0.000299600431965443,-0.00021181159727169,-0.0425741310516097,-0.041964545400936,-0.0419871603557199,-0.0419871603557199,1995,-53
0.162,-0.000304800215982721,-0.000216362632456048,-0.0434888891236656,-0.0423209526118567,-0.0420868966702561,-0.0420868966702561,1995,-53
0.163,-0.000310199784017279,-0.000221099379260731,-0.044440975231407,-0.0428468016251976,-0.0424054738806862,-0.0424054738806862,1994,-54
0.164,-0.000315199784017279,-0.000225422830458127,-0.0453099889220835,-0.0434706905175531,-0.0428883406695895,-0.0428883406695895,1994,-54
0.165,-0.000316999640028798,-0.00022653789748791,-0.0455341173950699,-0.0436725260510417,-0.0433263327302997,-0.0433263327302997,1993,-55
0.166,-0.000318799496040317,-0.000227649590638631,-0.0457575677183648,-0.0441130150390001,-0.0436894338935825,-0.0436894338935825,1993,-55
0.167,-0.000321798703637018,-0.000229955457253678,-0.0462210469079892,-0.0449789292369933,-0.0442384968707711,-0.0442384968707711,1992,-56
0.168,-0.000327200216060497,-0.000234653017442768,-0.0471652565059963,-0.0464178980314902,-0.045174340949919,-0.045174340949919,1991,-57
0.169,-0.000332601728483976,-0.000239336364136581,-0.0481066091914527,-0.0478497074909814,-0.0464304062135836,-0.0464304062135836,1989,-59
0.17,-0.000340003599712023,-0.000246002872884293,-0.049446577449743,-0.0495983037744779,-0.0479006622514977,-0.0479006622514977,1988,-60
0.171,-0.000349002879769619,-0.000254244202827175,-0.0511030847682621,-0.051504631317558,-0.0495998964146517,-0.0495998964146517,1985,-63
0.172,-0.000358002159827214,-0.000262460596824692,-0.052754579961763,-0.0532102199483799,-0.0513675433494705,-0.0513675433494705,1983,-65
0.173,-0.000367001439884809,-0.000270652130325998,-0.0544010781955256,-0.054722546745303,-0.0530334664247083,-0.0530334664247083,1981,-67
0.174,-0.000376000719942405,-0.00027881887855196,-0.056042594588944,-0.0560742476073629,-0.0545494476757497,-0.0545494476757497,1979,-69
0.175,-0.000385,-0.000286960916495847,-0.0576791442156652,-0.0573168009455132,-0.0559251378043961,-0.0559251378043961,1978,-70
0.176,-0.000385,-0.000286092653510988,-0.0575046233557085,-0.0567557989413432,-0.0566374212268526,-0.0566374212268526,1977,-71
0.177,-0.000385,-0.000285227017645599,-0.0573306305467654,-0.0563390812586602,-0.0565797410173328,-0.0565797410173328,1977,-71
0.178,-0.000386598272138229,-0.00028595985512811,-0.0574779308807502,-0.0564010424123974,-0.0564453312854071,-0.0564453312854071,1977,-71
0.179,-0.000393797696184305,-0.000292283153403684,-0.0587489138341405,-0.0576981859614173,-0.0568326921197021,-0.0568326921197021,1976,-72
0.18,-0.000400997120230382,-0.000298587319158,-0.060016051150758,-0.0590391327538275,-0.0578172865029843,-0.0578172865029843,1975,-73
0.181,-0.000412994238386748,-0.000309662846154802,-0.0622422320771152,-0.061346894861508,-0.0593401886213711,-0.0593401886213711,1973,-75
0.182,-0.000430999279798344,-0.000326703695836108,-0.0656674428630577,-0.0647721758277269,-0.0617243852388367,-0.0617243852388367,1970,-78
0.183,-0.000449004321209939,-0.000343692984701434,-0.0690822899249883,-0.0680562566604797,-0.0647306871652897,-0.0647306871652897,1967,-81
0.184,-0.000462203023758099,-0.000355831801210335,-0.0715221920432773,-0.0702894638933713,-0.0675782340317229,-0.0675782340317229,1963,-85
0.185,-0.000473002159827214,-0.00036553795280367,-0.0734731285135377,-0.0720503431212324,-0.0698805862596581,-0.0698805862596581,1960,-88
0.186,-0.000483801295896328,-0.000375214736313516,-0.0754181619990168,-0.0738695324173877,-0.071854529535076,-0.071854529535076,1958,-90
0.187,-0.000485,-0.000375276332736809,-0.0754305428800986,-0.0738862949699077,-0.0731515706623656,-0.0731515706623656,1956,-92
0.188,-0.000485,-0.000374140852153642,-0.0752023112828819,-0.0738787444295973,-0.0736201277376136,-0.0736201277376136,1956,-92
0.189,-0.000482602591792657,-0.000370615025949173,-0.0744936202157837,-0.0735853081644525,-0.0736918575833901,-0.0736918575833901,1956,-92
0.19,-0.000461004319654428,-0.000347928052177419,-0.0699335384876612,-0.0696924608504103,-0.0723758492013653,-0.0723758492013653,1957,-91
0.191,-0.000439406047516199,-0.000325309722804369,-0.0653872542836781,-0.0661339365176689,-0.0695151757928232,-0.0695151757928232,1961,-87
0.192,-0.000413608210298884,-0.000298566618403406,-0.0600118902990845,-0.0619304702174961,-0.0660004498792074,-0.0660004498792074,1965,-83
0.193,-0.000379398631616853,-0.000263505415427691,-0.0529645885009659,-0.0561501104753632,-0.0615388091530678,-0.0615388091530678,1971,-77
0.194,-0.000345189052934822,-0.000228550297786245,-0.0459386098550353,-0.0503830415141764,-0.0562360955900563,-0.0562360955900563,1977,-71
0.195,-0.000307984161267099,-0.000190710162996125,-0.038332742762221,-0.0438717161057484,-0.0503971745771756,-0.0503971745771756,1984,-64
0.196,-0.000268387329013679,-0.000150596199889847,-0.0302698361778593,-0.0366411674978271,-0.0438967048493629,-0.0438967048493629,1993,-55
0.197,-0.000228790496760259,-0.000110603610348188,-0.0222313256799858,-0.0290990812707828,-0.0368283840384283,-0.0368283840384283,2001,-47
0.198,-0.000177991360691145,-5.95466708227541e-05,-0.0119688808353736,-0.0190143837700501,-0.0286414279371387,-0.0286414279371387,2011,-37
0.199,-0.000123995680345572,-5.45250687461001e-06,-0.00109595388179661,-0.00811984766952957,-0.018978407284992,-0.018978407284992,2023,-25
0.2,-7e-05,4.84779833550828e-05,0.00974407465437165,0.00289603016212747,-0.008487062072626,-0.008487062072626,2036,-12
0.201,-1.60547156227501e-06,0.000116622359757788,0.0234410943113154,0.0168104437451985,0.00326953986730283,0.00326953986730283,2051,3
